Mean,Standard_Deviation,Variance,RMS,Maximum,Minimum,Peak,Peak_to_Peak,Skewness,Kurtosis,Crest_Factor,Shape_Factor,Impulse_Factor,Clearance_Factor,Dominant_Frequency,Maximum_FFT_Magnitude,Spectral_Energy,Mean_Frequency,Spectral_Centroid,Spectral_Entropy,Label
0.015750576288828592,0.1336768542272595,0.01786950135609599,0.13460156763398484,0.4527067065868264,-0.4817825948103792,0.4817825948103792,0.9344893013972055,0.011866016572550552,-0.10071732565131342,3.5793238019371807,1.2437705141784787,4.451857405546675,5.226519950001042,3369.140625,43.07968952953422,37475.06414414586,2690.4787818156456,2690.4787818156456,6.932595711428263,Ball
0.015344885034618262,0.14004591270451053,0.019612857665239382,0.14088407703486236,0.5090716966067864,-0.49461497005988025,0.5090716966067864,1.0036866666666666,-0.008733351143826977,0.07284128646938148,3.6134083235028363,1.2495353357661825,4.515081382768435,5.29456911548099,3357.421875,48.00392680317946,41131.154796080686,2693.333942632862,2693.333942632862,6.874224556260955,Ball
0.015279530275386725,0.13895812441985705,0.019309360342284476,0.1397956522489914,0.5090716966067864,-0.49461497005988025,0.5090716966067864,1.0036866666666666,-0.003104688891683622,0.07560311741720671,3.641541696161436,1.2560333727861421,4.573897898771017,5.388300863308812,3234.375,44.2312023534922,40494.6636724159,2678.1300395591643,2678.1300395591643,6.960263310209457,Ball
0.015305624590662426,0.12859533083207977,0.016536759111812044,0.12950297778785758,0.39975285429141716,-0.40608782435129737,0.40608782435129737,0.8058406786427146,-0.009978575583030698,-0.25543272061759836,3.1357412106501608,1.2427155473231912,3.896834354857001,4.583165935461842,3292.96875,40.745011720091824,34680.10651134064,2670.326503119605,2670.326503119605,6.969096408994412,Ball
0.015259146570140967,0.13271306792679122,0.017612758398541102,0.13358742438040397,0.41518419161676645,-0.432239880239521,0.432239880239521,0.8474240718562874,-0.023219683851173387,-0.3991643116236929,3.2356330114477942,1.2248035698476836,3.9630148631382687,4.61228916748218,3375.0,42.719846473696414,36936.667200483964,2714.129368589099,2714.129368589099,6.9719857474154825,Ball
0.015253435960111028,0.13828671194328312,0.019123214700084566,0.13912541826953756,0.4298033532934132,-0.5204421556886227,0.5204421556886227,0.9502455089820359,-0.05525936275637499,-0.06443697515845281,3.7408128734630877,1.242507408439372,4.647987708863261,5.447491372092763,3228.515625,43.466339984374635,40104.313334199134,2718.421702056485,2718.421702056485,7.013512634397394,Ball
0.014884942985123504,0.1392516190689811,0.01939101341333262,0.14004490330248723,0.4567675848303393,-0.5204421556886227,0.5204421556886227,0.977209740518962,-0.06693815073433608,0.09429951181431973,3.7162520264268664,1.2630856689142616,4.693944676653359,5.573802714720801,3445.3125,40.03929401159802,40665.90934396052,2700.653906831191,2700.653906831191,7.046883265670967,Ball
0.015042777901228791,0.13877257905387697,0.019257828697264535,0.13958550735749836,0.48763025948103794,-0.4301282235528942,0.48763025948103794,0.9177584830339321,-0.03925630314523891,-0.09321546902357403,3.49341610538512,1.2500661967080682,4.367001384377489,5.145180241602428,3292.96875,46.06227891562602,40386.59409742625,2688.52449754167,2688.52449754167,6.858820672217172,Ball
0.015225596736215069,0.1405850715955473,0.01976416235552516,0.14140714674831326,0.48763025948103794,-0.4301282235528942,0.48763025948103794,0.9177584830339321,-0.04757919829380595,-0.1377851206639802,3.4484131155616753,1.2483663513237397,4.304882898930658,5.073754542430045,3263.671875,44.78346524465172,41448.46372992288,2716.183158097004,2716.183158097004,6.9191187108498475,Ball
0.015290158355164672,0.14304187936421212,0.02046097925204581,0.1438567627696794,0.5258025149700598,-0.5126452694610778,0.5258025149700598,1.0384477844311375,-0.03621904568549167,-0.025718678050974386,3.655042035193655,1.2584854170957902,4.599817100163333,5.458330799377288,3369.140625,43.41940641183959,42909.78649948338,2712.0914736169325,2712.0914736169325,6.881588828404727,Ball
