Mean,Standard_Deviation,RMS,Maximum,Minimum,Peak_to_Peak,Skewness,Kurtosis,Crest_Factor,Shape_Factor,Impulse_Factor,Clearance_Factor,Dominant_Frequency,Maximum_FFT_Magnitude,Spectral_Energy,Mean_Frequency,Spectral_Entropy,Label
0.9631087608622055,-0.5230639691666955,-0.5217032945207668,-0.6102145174529519,0.5567859461375031,-0.5855460757484006,-0.06272131701392633,-0.6068807734862709,-0.6473744949804393,-0.7137671253331501,-0.6403644026951809,-0.6252174286555328,0.651759728861725,-0.6955273892071288,-0.5724544434236024,0.3235498931224115,0.56551319232671,Ball
0.9087772530167166,-0.48830935780089146,-0.48736488110990134,-0.568571090285141,0.5467174480965479,-0.559159487232704,-0.21200220451686508,-0.5788615626654336,-0.6290884741414894,-0.6871965410603571,-0.6247814922344769,-0.6143483012571334,0.6410754656602616,-0.6290125895562524,-0.557863706028307,0.32767613856624767,0.49109793677823105,Ball
0.900024728585698,-0.49424518948094925,-0.4933139020948357,-0.568571090285141,0.5467174480965479,-0.559159487232704,-0.17121203522510547,-0.5784156941335695,-0.6139951879495691,-0.6572465005222711,-0.6102848954882134,-0.5993770330390766,0.5288907020448976,-0.6799731743054814,-0.5604038166885597,0.30570363340714013,0.6007856043222234,Ball
0.9035193651607063,-0.5507927726274453,-0.549570739641391,-0.6493377372129128,0.6161773396449095,-0.63460283186209,-0.22102618097983626,-0.6318579452659969,-0.8853523258396873,-0.7186295630178149,-0.7771617837297172,-0.7279769069970964,0.5823120180522139,-0.7270633648546735,-0.5836085686173134,0.2944260526539373,0.6120465996114782,Ball
0.8972948756988317,-0.5283231481225966,-0.527246313731281,-0.6379367989393046,0.5956579955361273,-0.6187461026132207,-0.3169827375599357,-0.6550618975263061,-0.8317613271364418,-0.8011874877973951,-0.7608501725323765,-0.7233252097007429,0.6571018604624566,-0.7003880178557342,-0.5746030795399535,0.3577294480285873,0.615730111722104,Ball
0.8965300920106896,-0.4979089460271993,-0.4969772108143233,-0.6271359100485178,0.5264530026723471,-0.5795378619314462,-0.5491700438953169,-0.6010236928338489,-0.560737147834544,-0.719588893964806,-0.5920238665645121,-0.5899228512543138,0.523548570444166,-0.6903046559980134,-0.5619616279737014,0.36393267879108193,0.6686712244692182,Ball
0.8471803001338291,-0.4926436509639637,-0.4919515665738038,-0.6072142705388445,0.5264530026723471,-0.5692557640591326,-0.6338046724097925,-0.5753973580809747,-0.5739138080925298,-0.6247418296078094,-0.5806967823539338,-0.569747819493027,0.721207439671236,-0.7365959420604409,-0.5597204089556944,0.3382548663003454,0.7112142244650085,Ball
0.8683180715145659,-0.4952576714841208,-0.4944624944326782,-0.5844123939916281,0.5973148369859047,-0.5919259316571254,-0.43319799201464215,-0.6056696777081245,-0.6934631550882602,-0.6847497549493013,-0.6612789961459061,-0.6382093830299579,0.5823120180522139,-0.6552396604824186,-0.5608351010683003,0.3207255840562364,0.4714600871541882,Ball
0.8928017715309639,-0.4853672812303384,-0.4845059305032105,-0.5844123939916281,0.5973148369859047,-0.5919259316571254,-0.4935129100004104,-0.6128649787667396,-0.7176068300446885,-0.6925844961200187,-0.6765894343563539,-0.6496178260042238,0.5556013600485558,-0.6725134087582992,-0.5565973885959363,0.3606975609098266,0.5483318561137269,Ball
0.9014480760053003,-0.47196099841704475,-0.47111702453073345,-0.5562100729990184,0.5325705711022944,-0.5459042526262274,-0.4111873897763258,-0.5947730313655271,-0.606752384778619,-0.6459448064491881,-0.6038965502391835,-0.588191527802362,0.651759728861725,-0.6909386175641582,-0.5507655373618485,0.35478430574685865,0.5004863785854309,Ball
