filename,file_id,label,fault_size,load,samples,min,max,mean,std,status,filepath
118_0.mat,118,Ball,0.007,0,122571,-0.6070200798403194,0.6039338123752496,0.0126070485389453,0.1386616236653022,Valid,data/raw/Ball/118_0.mat
119_1.mat,119,Ball,0.007,1,121410,-0.6596490618762475,0.6396695409181637,0.0038918351975728,0.1390138554205349,Valid,data/raw/Ball/119_1.mat
120_2.mat,120,Ball,0.007,2,121556,-0.5667361676646706,0.6045835528942115,0.0045641149863227,0.1471810906227725,Valid,data/raw/Ball/120_2.mat
121_3.mat,121,Ball,0.007,3,121556,-0.720562235528942,0.6715068263473054,0.0041997049833992,0.1535774376611685,Valid,data/raw/Ball/121_3.mat
186_1.mat,186,Ball,0.014,1,122136,-1.3038667864271458,1.3397649500998003,0.0045249081266954,0.1408052640028766,Valid,data/raw/Ball/186_1.mat
222_0.mat,222,Ball,0.021,0,121991,-1.6178538922155687,1.6595997205588824,0.0213868868524069,0.1339168524056972,Valid,data/raw/Ball/222_0.mat
223_1.mat,223,Ball,0.021,1,121701,-1.413510499001996,1.4747485429141716,0.0042999936029863,0.1289783963876858,Valid,data/raw/Ball/223_1.mat
225_3.mat,225,Ball,0.021,3,122136,-0.4931530538922156,0.5763198403193612,0.0044608988226468,0.1178802023292758,Valid,data/raw/Ball/225_3.mat
105_0.mat,105,Inner_Race,0.007,0,121265,-1.3798864271457083,1.739030499001996,0.0134435594432707,0.2912159093347009,Valid,data/raw/Inner_Race/105_0.mat
106_1.mat,106,Inner_Race,0.007,1,121991,-1.4029522155688623,1.5808186826347306,0.0058009877561891,0.2928348290041616,Valid,data/raw/Inner_Race/106_1.mat
108_3.mat,108,Inner_Race,0.007,3,122917,-1.5354992814371258,1.6714574850299402,0.0047183971265227,0.3135712339852505,Valid,data/raw/Inner_Race/108_3.mat
169_0.mat,169,Inner_Race,0.014,0,121846,-2.010784471057884,1.9342775249501,0.0344332373239175,0.1948107343702305,Valid,data/raw/Inner_Race/169_0.mat
171_2.mat,171,Inner_Race,0.014,2,121846,-1.880511497005988,1.854197005988024,0.0036803143017184,0.1630258822336999,Valid,data/raw/Inner_Race/171_2.mat
209_0.mat,209,Inner_Race,0.021,0,122136,-3.3717472055888225,3.7879872255489024,0.0141457915341126,0.5251830255024031,Valid,data/raw/Inner_Race/209_0.mat
210_1.mat,210,Inner_Race,0.021,1,121556,-3.284032235528942,3.6860591816367263,0.0030422544615924,0.4418273318161406,Valid,data/raw/Inner_Race/210_1.mat
211_2.mat,211,Inner_Race,0.021,2,121846,-3.124033632734531,3.623115568862276,0.0034284869258249,0.4888516559568386,Valid,data/raw/Inner_Race/211_2.mat
97_0.mat,97,Normal,Healthy,0,243938,-0.2866375384615384,0.3112541538461538,0.0125582111999455,0.0726870986839877,Valid,data/raw/Normal/97_0.mat
99_2.mat,99,Normal,Healthy,2,483903,-0.3458843076923076,0.3175126153846153,0.0125641024534637,0.0651516453058643,Valid,data/raw/Normal/99_2.mat
131@6_1.mat,131,Outer_Race,0.007,1,122426,-3.011953393213573,3.112257085828343,0.0040610540448516,0.5919334923404229,Valid,data/raw/Outer_Race/131@6_1.mat
133@6_3.mat,133,Outer_Race,0.007,3,122571,-3.003019461077844,3.236113872255489,0.004529079736929,0.580377370704462,Valid,data/raw/Outer_Race/133@6_3.mat
197@6_0.mat,197,Outer_Race,0.014,0,121846,-0.5504385628742515,0.5505603592814372,0.014375473956966,0.0996476421938939,Valid,data/raw/Outer_Race/197@6_0.mat
198@6_1.mat,198,Outer_Race,0.014,1,122136,-0.4016439520958084,0.3958383233532934,0.0030993650153024,0.0935280453533597,Valid,data/raw/Outer_Race/198@6_1.mat
199@6_2.mat,199,Outer_Race,0.014,2,121846,-0.4098449101796407,0.4774419161676647,0.0032449254045132,0.0967635387695505,Valid,data/raw/Outer_Race/199@6_2.mat
200@6_3.mat,200,Outer_Race,0.014,3,121991,-0.6651707784431137,0.6651301796407186,0.0025354458120671,0.0946814271193587,Valid,data/raw/Outer_Race/200@6_3.mat
235_1.mat,235,Outer_Race,0.021,1,121991,-6.11284001996008,6.207052395209581,0.0034076111574999,0.5613672182208825,Valid,data/raw/Outer_Race/235_1.mat
236_2.mat,236,Outer_Race,0.021,2,122281,-6.653342914171657,6.652936826347305,0.003372955552736,0.5699811573998793,Valid,data/raw/Outer_Race/236_2.mat
